Date,Name,Type,Namespace,Duration,QPS,Connections,P50_Consul-HTTP,P75_Consul-HTTP,P90_Consul-HTTP,P99_Consul-HTTP,P99.9_Consul-HTTP,Errors,Streams,Destination
0523-082932,Consul-HTTP,HTTP,fortio-consul-100,2s,1000,2,0.0011318471337579618,0.001181847133757962,0.0013488,0.08472034335157895,0.0855614335351579,0,null,http://fortio-server-defaults:8080/echo
0523-082938,Consul-HTTP,HTTP,fortio-consul-100,2s,1000,4,0.0017482954545454546,0.0019810483870967743,0.08248529411764706,0.0906207405925,0.09124028115925,0,null,http://fortio-server-defaults:8080/echo
0523-082943,Consul-HTTP,HTTP,fortio-consul-100,2s,1000,8,0.003243622448979592,0.06093749999999996,0.09229672749454546,0.09514060194945453,0.09542498939494545,0,null,http://fortio-server-defaults:8080/echo
0523-082948,Consul-HTTP,HTTP,fortio-consul-100,2s,1000,16,0.07187500000000001,0.09483164983164984,0.0981952861952862,0.10030811278307693,0.1005994105783077,0,null,http://fortio-server-defaults:8080/echo
0523-082953,Consul-HTTP,HTTP,fortio-consul-100,2s,1000,32,0.13988326848249028,0.18745136186770428,0.24526666959333332,0.29373835155933337,0.2985855197559334,0,null,http://fortio-server-defaults:8080/echo
0523-082958,Consul-GRPC,GRPC Ping,fortio-consul-100,2s,1000,2,0.0009519308943089431,0.0009983231707317074,0.0011099999999999999,0.08257452619571427,0.08691844441957144,0,1,fortio-server-defaults-grpc:8079
0523-083003,Consul-GRPC,GRPC Ping,fortio-consul-100,2s,1000,4,0.0014271551724137931,0.001627922077922078,0.0036874999999999963,0.08993478260869565,0.09185476739625002,0,1,fortio-server-defaults-grpc:8079
0523-083008,Consul-GRPC,GRPC Ping,fortio-consul-100,2s,1000,8,0.002038679245283019,0.0025585443037974684,0.08835714285714287,0.0931186011938889,0.0934753754193889,0,1,fortio-server-defaults-grpc:8079
0523-083014,Consul-GRPC,GRPC Ping,fortio-consul-100,2s,1000,16,0.0035843949044585986,0.07578125,0.09485878884049587,0.09901322948404959,0.09942867354840496,0,1,fortio-server-defaults-grpc:8079
0523-083019,Consul-GRPC,GRPC Ping,fortio-consul-100,2s,1000,32,0.031718750000000004,0.09463979416809606,0.09787650085763294,0.09981852487135506,0.10051629176200001,0,1,fortio-server-defaults-grpc:8079
0523-083337,Baseline-HTTP,HTTP,fortio-baseline,2s,1000,2,0.00014627777777777778,0.00017405555555555555,0.00019072222222222223,0.0003333333333333334,0.0045000000000000005,0,null,http://fortio-server-defaults:8080/echo
0523-083343,Baseline-HTTP,HTTP,fortio-baseline,2s,1000,4,0.00014950078822911195,0.00017577509196006308,0.00019153967419863373,0.00029047619047619104,0.0016809420000000058,0,null,http://fortio-server-defaults:8080/echo
0523-083348,Baseline-HTTP,HTTP,fortio-baseline,2s,1000,8,0.00015885922330097089,0.0001891990291262136,0.00024039735099337748,0.00030000000000000003,0.0005114773333333355,0,null,http://fortio-server-defaults:8080/echo
0523-083353,Baseline-HTTP,HTTP,fortio-baseline,2s,1000,16,0.00024137235116044402,0.00029182643794147325,0.0003571801566579635,0.0004615384615384615,0.0007,0,null,http://fortio-server-defaults:8080/echo
0523-083358,Baseline-HTTP,HTTP,fortio-baseline,2s,1000,32,0.00036989898989898994,0.00047414529914529917,0.0005720816326530612,0.0013231111111111104,0.0015606400000000018,0,null,http://fortio-server-defaults:8080/echo
0523-083403,Baseline-GRPC,GRPC Ping,fortio-baseline,2s,1000,2,0.000160996609375,0.0001821710885416667,0.00019487577604166667,0.00029833333333333345,0.0009000000000000001,0,1,fortio-server-defaults:8079
0523-083408,Baseline-GRPC,GRPC Ping,fortio-baseline,2s,1000,4,0.00020308324768756423,0.00025447070914696817,0.0002853031860226105,0.0005285714285714274,0.0011,0,1,fortio-server-defaults:8079
0523-083414,Baseline-GRPC,GRPC Ping,fortio-baseline,2s,1000,8,0.00028818088386433716,0.00034967741935483873,0.0003883870967741936,0.0009545454545454543,0.0011800000000000011,0,1,fortio-server-defaults:8079
0523-083419,Baseline-GRPC,GRPC Ping,fortio-baseline,2s,1000,16,0.0004742056074766355,0.0005619863013698631,0.0006410526315789475,0.0014,0.0016,0,1,fortio-server-defaults:8079
0523-083424,Baseline-GRPC,GRPC Ping,fortio-baseline,2s,1000,32,0.000836896551724138,0.001003658536585366,0.0011480952380952382,0.0023684444444444447,0.0027145410880000044,0,1,fortio-server-defaults:8079
0523-083429,Consul-HTTP,HTTP,fortio-consul-100,2s,1000,2,0.001067848101265823,0.0011225490196078432,0.0013294117647058823,0.0856966265263158,0.08665793225263159,0,null,http://fortio-server-defaults:8080/echo
0523-083434,Consul-HTTP,HTTP,fortio-consul-100,2s,1000,4,0.0017521212121212122,0.001963541666666667,0.08285000000000001,0.0910241143785,0.09144698173785,0,null,http://fortio-server-defaults:8080/echo
0523-083439,Consul-HTTP,HTTP,fortio-consul-100,2s,1000,8,0.0033863636363636366,0.09199652777777778,0.09709027777777779,0.10034993717,0.101079829817,0,null,http://fortio-server-defaults:8080/echo
0523-083444,Consul-HTTP,HTTP,fortio-consul-100,2s,1000,16,0.05375,0.09481012658227848,0.09794303797468355,0.09982278481012659,0.10002345864000001,0,null,http://fortio-server-defaults:8080/echo
0523-083449,Consul-HTTP,HTTP,fortio-consul-100,2s,1000,32,0.14432234432234434,0.18772893772893776,0.24700000000000003,0.3049441652000004,0.3860665065200005,0,null,http://fortio-server-defaults:8080/echo
0523-083454,Consul-GRPC,GRPC Ping,fortio-consul-100,2s,1000,2,0.0009672709923664122,0.0010453821656050957,0.0013095000000000003,0.07941034482758619,0.08743632527825006,0,1,fortio-server-defaults-grpc:8079
0523-083459,Consul-GRPC,GRPC Ping,fortio-consul-100,2s,1000,4,0.0014181451612903227,0.0015885080645161292,0.00275,0.08993382352941177,0.090896585895,0,1,fortio-server-defaults-grpc:8079
0523-083504,Consul-GRPC,GRPC Ping,fortio-consul-100,2s,1000,8,0.0020497967479674796,0.0026905487804878047,0.08737681159420291,0.09269096707108433,0.09302688570710843,0,1,fortio-server-defaults-grpc:8079
0523-083509,Consul-GRPC,GRPC Ping,fortio-consul-100,2s,1000,16,0.0035264705882352945,0.08448863636363636,0.09399799862000001,0.096794411462,0.0970740527462,0,1,fortio-server-defaults-grpc:8079
